intersection_id,leg_bearing
185264012,9.9
185264014,189.0
185264018,76.2
185264028,181.1
185264029,258.1
185264032,165.6
185264033,3.4
185264038,271.3
185264041,186.6
185264042,166.7
185264044,256.5
185264049,279.9
185264051,4.9
185264052,280.1
185264053,277.9
185264055,277.4
185264057,279.4
185264059,279.9
185264061,277.1
185264064,257.0
185264065,167.1
185264066,257.7
185264067,271.4
185264069,90.8
185264070,343.9
185264071,184.7
185264072,274.0
185264073,98.5
185264086,347.2
185264087,76.6
185264090,85.3
185264093,179.1
185264095,91.6
185264096,90.6
185264097,272.3
185264099,94.2
185264100,5.9
185264102,93.2
185264128,280.0
185264129,296.1
185264133,100.0
185264134,279.8
185264138,76.9
185264145,182.9
185264148,10.2
185264149,8.7
185264151,188.7
185264152,193.9
185266001,168.3
185266007,201.6
185266015,100.3
185266016,114.9
185266017,289.8
185266018,203.8
185266036,299.2
185266057,201.7
185267005,110.3
185267006,207.2
185267007,290.1
185267008,26.9
185267009,110.4
185267010,110.4
185267011,27.2
185267012,110.7
185267015,27.5
185267016,28.0
185267017,107.5
185267018,287.2
185267019,117.6
185267021,208.2
185267022,205.4
185267025,110.5
185267027,290.1
185267031,167.6
185267032,257.2
185267033,347.3
185267034,347.4
185267035,347.6
185267036,347.7
185267037,79.7
185267038,82.2
185267040,112.3
185267041,111.0
185267042,28.3
185267076,181.4
185268002,245.6
185268003,245.1
185268010,251.3
185268013,154.0
185268016,244.5
185268024,112.0
185268025,110.4
185268027,335.8
185268028,66.6
185268029,248.1
185268030,154.4
185268036,230.5
185268037,228.7
185268038,225.3
185268039,225.7
185268040,227.6
185268041,232.0
185268042,245.0
185268100,336.8
185268101,318.0
185268105,46.0
185268120,244.0
185268121,49.1
185269003,97.0
185269032,253.2
185269035,251.9
185269038,252.4
185269039,251.9
185269040,162.2
185269042,154.7
185269044,97.1
185270003,251.8
185270004,341.0
185270006,276.1
185270007,343.2
185270011,180.9
185270012,165.6
185270013,69.1
185270014,160.8
185270015,341.6
185270035,279.3
185270078,48.3
185271009,161.7
185271011,149.5
185271018,127.8
185271044,251.0
185271050,232.0
185272012,240.7
185272017,154.9
185272019,0.2
185272024,63.9
185272044,180.7
185272048,146.1
185272064,328.9
185272099,263.1
185272113,353.5
185272129,224.0
185272151,334.3
185272152,173.0
185273009,164.4
185273014,74.7
185273015,161.5
185273017,269.6
185273021,267.6
185273026,270.5
185273027,100.4
185273028,184.7
185273030,185.0
185273031,273.7
185273033,159.6
185273041,2.8
185273046,2.4
185273049,89.6
185273052,158.5
185273062,74.9
185273070,252.6
185273072,75.5
185273128,93.6
185273145,217.0
185273145,217.0
185273145,217.0
185273145,217.0
185273145,217.0
185273148,179.7
185273163,324.1
185273164,250.8
185273174,66.2
185274023,210.4
185274029,87.4
185274030,261.4
185274038,237.8
185274056,257.2
185274057,162.7
185274094,156.5
185274118,139.1
185274141,73.5
185274150,68.5
185274168,256.7
185274245,249.5
185275002,230.8
185275031,109.2
185275047,330.5
185275063,150.5
185275086,339.6
185275100,87.8
185275101,59.7
185275110,286.6
185275118,280.0
185275152,316.8
185275157,52.1
185275160,50.4
185275163,142.6
185275174,194.1
185275179,2.8
185276005,15.4
185276006,122.7
185276022,33.8
185276023,305.5
185276025,336.8
185276027,126.7
185276028,121.4
185276028,121.4
185276028,121.4
185276028,121.4
185276028,121.4
185276029,224.4
185276030,211.3
185276031,212.3
185276032,301.8
185276033,315.3
185276034,294.6
185276035,296.1
185276036,309.3
185276037,300.8
185276045,347.8
185276046,209.3
185276047,209.1
185276096,27.3
185276125,123.9
185276126,297.7
185277003,19.1
185277005,121.5
185277006,210.0
185277007,31.8
185277008,291.3
185277009,43.5
185277010,53.9
185277011,198.3
185277013,197.8
185277015,123.8
185277019,16.9
185277021,285.2
185277025,292.7
185277026,31.0
185277028,18.7
185277029,18.3
185277030,15.9
185277033,107.1
185277034,106.2
185277035,285.7
185277036,115.1
185277038,113.6
185277039,307.7
185277040,18.4
185277042,17.9
185277043,284.6
185277044,12.3
185277045,293.6
185277046,195.5
185277047,187.1
185277048,286.1
185277049,5.4
185277050,10.0
185277051,301.2
185277052,303.2
185277053,211.7
185277054,122.3
185277055,121.4
185277056,290.7
185277057,196.3
185277083,107.2
185277084,107.4
185277085,200.0
185277087,297.0
185277088,287.5
185278003,197.1
185278005,198.8
185278006,110.0
185278008,20.4
185278009,110.9
185278012,7.0
185278013,13.8
185278016,13.4
185278017,288.2
185278019,14.6
185278021,188.3
185278022,108.8
185278023,9.2
185278024,182.0
185278025,174.4
185278026,14.7
185278028,282.0
185278029,13.4
185278030,103.0
185278031,187.4
185278032,188.2
185278034,102.0
